"Title","English.title","Director","Runtime","Cost","Kinopoisk.mark","Marks.from.kinopoisk","IMDb.mark","Marks.from.IMDb"
"Мстители: Война бесконечности","Avengers: Infinity War","Энтони Руссо...",149,"321000000",7.872,146572,8.50615,615540
"Хан Соло: Звёздные войны. Истории","Solo: A Star Wars Story","Рон Ховард",135,"275000000",6.927,47538,7.00215,215300
"Суперсемейка 2","Incredibles 2","Брэд Бёрд",118,"200000000",7.377,43676,7.70192,192080
"Фантастические твари: Преступления Грин-де-Вальда","Fantastic Beasts: The Crimes of Grindelwald","Дэвид Йейтс",134,"200000000",6.62,82996,6.70149,149361
"Чёрная Пантера","Black Panther","Райан Куглер",134,"200000000",6.475,94242,7.30489,489669
"Миссия невыполнима: Последствия","Mission: Impossible - Fallout","Кристофер МакКуорри",147,"178000000",7.185,49601,7.80223,223898
"Первому игроку приготовиться","Ready Player One","Стивен Спилберг",140,"175000000",7.412,110226,7.50291,291209
"Ральф против интернета","Ralph Breaks the Internet","Фил Джонстон...",111,"175000000",7.103,27375,7.1074,74756
"Мир Юрского периода 2","Jurassic World: Fallen Kingdom","Хуан Антонио Байона",128,"170000000",6.163,46423,6.20209,209152
"Человек-муравей и Оса","Ant-Man and the Wasp","Пейтон Рид",118,"162000000",6.948,63834,7.10216,216833
"Аквамен","Aquaman","Джеймс Ван",143,"160000000",6.91,72797,7.20223,223633
"Мег: Монстр глубины","The Meg","Джон Тёртлтауб",113,"130000000",5.895,29679,5.70104,104298
"Тихоокеанский рубеж 2","Pacific Rim: Uprising","Стивен С. ДеНайт",110,"150000000",5.737,31698,5.6086,86194
"Бамблби","Bumblebee","Трэвис Найт",114,"135000000",6.569,23980,6.9075,75469
"Мэри Поппинс возвращается","Mary Poppins Returns","Роб Маршалл",130,"130000000",6.638,6837,7.0043,43758
"Небоскреб","Skyscraper","Роусон Маршалл Тёрбер",103,"125000000",6.063,25577,5.8076,76267
"Рэмпейдж","Rampage","Брэд Пейтон",107,"120000000",6.161,28564,6.10111,111284
"Щелкунчик и четыре королевства","The Nutcracker and the Four Realms","Лассе Халльстрём...",99,"120000000",5.698,9496,5.5016,16829
"Дэдпул 2","Deadpool 2","Дэвид Литч",119,"110000000",7.385,114271,7.8037,370480
"Излом времени","A Wrinkle in Time","Ава ДюВерней",109,"103000000",4.617,10831,4.2033,33933
"Веном","Venom","Рубен Фляйшер",112,"100000000",6.807,110731,6.80255,255557
"Хроники хищных городов","Mortal Engines","Кристиан Риверс",128,"100000000",6.227,36091,6.2058,58687
"Робин Гуд: Начало","Robin Hood","Отто Батхёрст",116,"100000000",5.61,15582,5.3036,36384
"Tomb Raider: Лара Крофт","Tomb Raider","Роар Утхауг",118,"94000000",6.116,44272,6.30157,157975
"Человек-паук: Через вселенные","Spider-Man: Into the Spider-Verse","Боб Персичетти...",117,"90000000",8.037,51883,8.50171,171417
"Хищник","The Predator","Шейн Блэк",107,"88000000",5.618,34058,5.4088,88277
"Монстры на каникулах 3: Море зовёт","Hotel Transylvania 3: Summer Vacation","Генндий Тартаковский",97,"80000000",6.593,22667,6.3039,39705
"Кристофер Робин","Christopher Robin","Марк Форстер",104,"75000000",7.395,24675,7.3048,48224
"Mamma Mia! 2","Mamma Mia! Here We Go Again","Ол Паркер",114,"75000000",6.926,12311,6.8055,55771
"Гринч","The Grinch","Ярроу Чейни...",86,"75000000",6.758,15137,6.3027,27511
"Царь обезьян: Царство женщин","Xi you ji nu er guo","Чин Поу-Сои",116,"73000000",5.584,139,5.50927,927
